,USER_ID,Probabilities,AD_status
0,D488-0121,0.594958838,1
1,D488-0114,0.659974352,1
3,F069-0210,0.521137133,1
4,D420-2730,0.51754972,1
5,D420-1684,0.609669766,1
6,Z341-0197,0.585347903,1
7,D488-0310,0.583937051,1
8,D420-1970,0.62401758,1
9,S343-1027,0.575735031,1
10,S343-0716,0.575735031,1
13,E543-0030,0.549315828,1
19,D420-2657,0.510198366,1
20,D482-1903,0.608638708,1
34,G622-0800,0.63891315,1
35,L036-0317,0.5254481,1
36,L834-1079,0.67004514,1
37,F144-0356,0.7267222,1
39,F144-0264,0.5048786,1
40,F144-0051,0.53973556,1
41,D517-1329,0.76991576,1
44,L036-0366,0.75166565,1
2,D305-0402,0.527001008,0
11,K505-0531,0.548552609,0
12,F089-0042,0.524092969,0
14,D305-0405,0.520170122,0
15,L834-1191,0.682764653,0
16,L834-0678,0.682764653,0
17,L834-0672,0.658446926,0
18,L834-1185,0.658446926,0
21,P940-4610,0.748327256,0
22,SA40-0613,0.527632205,0
23,SA40-0688,0.69151214,0
24,S550-0594,0.618218161,0
25,P940-4469,0.634545933,0
26,S551-0296,0.732228935,0
27,F687-1061,0.835102315,0
28,SA43-0900,0.782468289,0
29,SA43-0950,0.558903284,0
30,SA49-1335,0.644597659,0
31,SA49-0214,0.516015437,0
32,S724-1887,0.551417134,0
33,F037-0026,0.51077014,0
38,F144-0520,0.5633923,0
42,F089-0084,0.71271086,0
43,F089-0042,0.6313495,0
