cid,cmpdname,CanonicalSMILES,activity
653949,4-chloro-7-(ethylamino)chromen-2-one,CCNC1=CC2=C(C=C1)C(=CC(=O)O2)Cl,Active
969516,"(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,Active
658104,"methyl 5-(1-amino-5-morpholin-4-yl-6,7,8,9-tetrahydrothieno[2,3-c]isoquinolin-2-yl)furan-2-carboxylate",COC(=O)C1=CC=C(O1)C2=C(C3=C(S2)N=C(C4=C3CCCC4)N5CCOCC5)N,Active
100641,7-amino-4-(trifluoromethyl)chromen-2-one,C1=CC2=C(C=C1N)OC(=O)C=C2C(F)(F)F,Active
629074,"3-amino-4-(furan-2-yl)-6-phenylthieno[2,3-b]pyridine-2-carbonitrile",C1=CC=C(C=C1)C2=NC3=C(C(=C2)C4=CC=CO4)C(=C(S3)C#N)N,Active
379416,"N'-(5,7-dibromo-2,1,3-benzoxadiazol-4-yl)-N,N-dimethylmethanimidamide",CN(C)C=NC1=C(C=C(C2=NON=C12)Br)Br,Active
661898,"N-[7-(4-fluorophenyl)-5-phenyl-4,7-dihydro-[1,2,4]triazolo[1,5-a]pyrimidin-2-yl]acetamide",CC(=O)NC1=NN2C(C=C(NC2=N1)C3=CC=CC=C3)C4=CC=C(C=C4)F,Active
662176,"7-(4-ethoxyphenyl)-5-phenyl-4,7-dihydro-[1,2,4]triazolo[1,5-a]pyrimidine",CCOC1=CC=C(C=C1)C2C=C(NC3=NC=NN23)C4=CC=CC=C4,Active
664134,"1-methyl-3-phenylpyrazolo[4,3-b]quinoxaline",CN1C2=NC3=CC=CC=C3N=C2C(=N1)C4=CC=CC=C4,Active
666371,"3-amino-6-(furan-2-yl)-N-(2-methoxyphenyl)thieno[2,3-b]pyridine-2-carboxamide",COC1=CC=CC=C1NC(=O)C2=C(C3=C(S2)N=C(C=C3)C4=CC=CO4)N,Active
666746,"1-cyclopentyl-3-(1-methylbenzimidazol-2-yl)pyrrolo[3,2-b]quinoxalin-2-amine",CN1C2=CC=CC=C2N=C1C3=C(N(C4=NC5=CC=CC=C5N=C34)C6CCCC6)N,Active
3000025,"3-[7-(4-methoxyphenyl)-5-phenyl-4,7-dihydro-[1,2,4]triazolo[1,5-a]pyrimidin-2-yl]propan-1-ol",COC1=CC=C(C=C1)C2C=C(NC3=NC(=NN23)CCCO)C4=CC=CC=C4,Active
3000028,"5-(4-chlorophenyl)-7-(3,4-dimethoxyphenyl)-5,8-dihydro-[1,2,4]triazolo[4,3-a]pyrimidine",COC1=C(C=C(C=C1)C2=CC(N3C=NN=C3N2)C4=CC=C(C=C4)Cl)OC,Active
54718136,"(12Z)-12-[(E)-3-[4-(dimethylamino)phenyl]-1-hydroxyprop-2-enylidene]-9,10-dimethyl-8-oxa-10-azatricyclo[7.3.1.02,7]trideca-2,4,6-trien-11-one",CC12CC(C3=CC=CC=C3O1)C(=C(C=CC4=CC=C(C=C4)N(C)C)O)C(=O)N2C,Active
1773030,"3-amino-N-(5-propylsulfanyl-1,3,4-thiadiazol-2-yl)-6-thiophen-2-ylthieno[2,3-b]pyridine-2-carboxamide",CCCSC1=NN=C(S1)NC(=O)C2=C(C3=C(S2)N=C(C=C3)C4=CC=CS4)N,Active
3243384,4-[[7-(diethylamino)-2-oxochromen-3-yl]amino]-4-oxobutanoic acid,CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)NC(=O)CCC(=O)O,Active
3243672,"3-[7-(2-chlorophenyl)-5-thiophen-2-yl-4,7-dihydro-[1,2,4]triazolo[1,5-a]pyrimidin-2-yl]propan-1-ol",C1=CC=C(C(=C1)C2C=C(NC3=NC(=NN23)CCCO)C4=CC=CS4)Cl,Active
3244704,"3-[7-(4-methoxyphenyl)-5-thiophen-2-yl-4,7-dihydro-[1,2,4]triazolo[1,5-a]pyrimidin-2-yl]propan-1-ol",COC1=CC=C(C=C1)C2C=C(NC3=NC(=NN23)CCCO)C4=CC=CS4,Active
2950551,"7-(4-ethoxyphenyl)-5-(4-fluorophenyl)-4,7-dihydro-[1,2,4]triazolo[1,5-a]pyrimidine",CCOC1=CC=C(C=C1)C2C=C(NC3=NC=NN23)C4=CC=C(C=C4)F,Active
1224769,"4-[(4-bromo-2,1,3-benzothiadiazol-7-yl)sulfonyl]morpholine",C1COCCN1S(=O)(=O)C2=CC=C(C3=NSN=C23)Br,Active
756377,"4-chloro-8-(diethylamino)pyrano[3,2-c]chromene-2,5-dione",CCN(CC)C1=CC2=C(C=C1)C3=C(C(=CC(=O)O3)Cl)C(=O)O2,Active
5147737,"3-(5,7-diphenyl-4,7-dihydro-[1,2,4]triazolo[1,5-a]pyrimidin-2-yl)propan-1-ol",C1=CC=C(C=C1)C2C=C(NC3=NC(=NN23)CCCO)C4=CC=CC=C4,Active
760116,"6-methyl-4-(trifluoromethyl)-7,8,9,10-tetrahydropyrano[2,3-f]quinolin-2-one",CC1=CC2=C(C3=C1NCCC3)OC(=O)C=C2C(F)(F)F,Active
535721,"9-methyl-4-(trifluoromethyl)-7,8-dihydro-6H-pyrano[2,3-b][1,8]naphthyridin-2-one",CN1CCCC2=CC3=C(N=C21)OC(=O)C=C3C(F)(F)F,Active
94381,3-(1H-benzimidazol-2-yl)-7-(diethylamino)chromen-2-one,CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC4=CC=CC=C4N3,Active
100335,7-(diethylamino)-3-(1-methylbenzimidazol-2-yl)chromen-2-one,CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC4=CC=CC=C4N3C,Active
1108212,"6-bromo-2-(1,3,5-trimethylpyrazol-4-yl)benzo[de]isoquinoline-1,3-dione",CC1=C(C(=NN1C)C)N2C(=O)C3=C4C(=C(C=C3)Br)C=CC=C4C2=O,Active
1796110,"16-(butylamino)-14-methyl-14-azatetracyclo[7.7.1.02,7.013,17]heptadeca-1(16),2,4,6,9(17),10,12-heptaene-8,15-dione",CCCCNC1=C2C3=CC=CC=C3C(=O)C4=C2C(=CC=C4)N(C1=O)C,Active
1446268,"N-cyclopentyl-2-[4-(diethylamino)phenyl]imidazo[1,2-a]pyrazin-3-amine",CCN(CC)C1=CC=C(C=C1)C2=C(N3C=CN=CC3=N2)NC4CCCC4,Active
511501,"12-cyclohexyl-1,4-diazatetracyclo[7.6.1.05,16.010,15]hexadeca-4,9(16),10(15),11,13-pentaene",C1CCC(CC1)C2=CC3=C(C=C2)N4CCN=C5C4=C3CCC5,Active
1108211,"6-bromo-2-(3,5-dimethyl-1H-pyrazol-4-yl)benzo[de]isoquinoline-1,3-dione",CC1=C(C(=NN1)C)N2C(=O)C3=C4C(=C(C=C3)Br)C=CC=C4C2=O,Active
2861516,"5-ethyl-5'-naphthalen-1-ylspiro[1H-indole-3,2'-3H-1,3,4-thiadiazole]-2-one",CCC1=CC2=C(C=C1)NC(=O)C23NN=C(S3)C4=CC=CC5=CC=CC=C54,Active
990640,"6-amino-8-(4-methoxyphenyl)-N-phenyl-4-thia-2-azatricyclo[7.3.0.03,7]dodeca-1(9),2,5,7-tetraene-5-carboxamide",COC1=CC=C(C=C1)C2=C3C(=C(SC3=NC4=C2CCC4)C(=O)NC5=CC=CC=C5)N,Active
5863319,6-methoxy-2-(4-methoxyphenyl)-3-[3-(trifluoromethyl)phenyl]sulfanyl-1-benzothiophene 1-oxide,COC1=CC=C(C=C1)C2=C(C3=C(S2=O)C=C(C=C3)OC)SC4=CC=CC(=C4)C(F)(F)F,Active
5936678,"N-[(Z)-[1-(2,6-dimethylphenyl)-2,5-dimethylpyrrol-3-yl]methylideneamino]-5-nitropyridin-2-amine",CC1=C(C(=CC=C1)C)N2C(=CC(=C2C)C=NNC3=NC=C(C=C3)[N+](=O)[O-])C,Active
72652,"6-(trifluoromethyl)-3-oxa-13-azatetracyclo[7.7.1.02,7.013,17]heptadeca-1(17),2(7),5,8-tetraen-4-one",C1CC2=CC3=C(C4=C2N(C1)CCC4)OC(=O)C=C3C(F)(F)F,Active
