sid,cid,sidsrcname,sidextid,subssynonym,sidmdate,depdate,depcatg,annotation,activity
845496,647846,MLSMR,MLS000032637,MLS000032637|SMR000006133|1-[2-(3-Cyano-8-methyl-quinolin-2-ylamino)-ethyl]-3-cyclohexyl-urea,20190115,20050604,Governmental Organizations|NIH Initiatives,NULL,Inactive
846659,649054,MLSMR,MLS000033467,"MLS000033467|SMR000010003|[5-(3,4,5-Trimethoxy-phenyl)-[1,3,4]oxadiazol-2-ylsulfanyl]-acetic acid butyl ester",20120301,20050604,Governmental Organizations|NIH Initiatives,NULL,Inactive
856443,657803,MLSMR,MLS000038396,MLS000038396|SMR000034155,20120301,20050629,Governmental Organizations|NIH Initiatives,NULL,Inactive
857902,6603435,MLSMR,MLS000080127,MLS000080127|SMR000036255,20190206,20050629,Governmental Organizations|NIH Initiatives,NULL,Inactive
860525,661810,MLSMR,MLS000080359,MLS000080359|SMR000037404,20120301,20050629,Governmental Organizations|NIH Initiatives,NULL,Inactive
860610,661889,MLSMR,MLS000036910,MLS000036910|SMR000034285,20190115,20050629,Governmental Organizations|NIH Initiatives,NULL,Inactive
863880,665132,MLSMR,MLS000082529,MLS000082529|SMR000046038,20120301,20050629,Governmental Organizations|NIH Initiatives,NULL,Inactive
3711615,2997707,MLSMR,MLS000056980,MLS000056980|SMR000064144,20120301,20050730,Governmental Organizations|NIH Initiatives,NULL,Inactive
3712447,2112599,MLSMR,MLS000058692,MLS000058692|SMR000066808,20210728,20050730,Governmental Organizations|NIH Initiatives,NULL,Inactive
3712509,2998049,MLSMR,MLS000098038,MLS000098038|SMR000065677,20120301,20050730,Governmental Organizations|NIH Initiatives,NULL,Inactive
3712748,2079329,MLSMR,MLS000053205,MLS000053205|SMR000067152,20120301,20050730,Governmental Organizations|NIH Initiatives,NULL,Inactive
3714192,2666619,MLSMR,MLS000057858,MLS000057858|SMR000064958,20120301,20050730,Governmental Organizations|NIH Initiatives,NULL,Inactive
3714502,2337349,MLSMR,MLS000097871,MLS000097871|SMR000060010,20120301,20050730,Governmental Organizations|NIH Initiatives,NULL,Inactive
3715971,2320547,MLSMR,MLS000055030,MLS000055030|SMR000065840,20190115,20050730,Governmental Organizations|NIH Initiatives,NULL,Inactive
3717142,2999890,MLSMR,MLS000048761,MLS000048761|SMR000061856,20120301,20050730,Governmental Organizations|NIH Initiatives,NULL,Inactive
4241889,3236803,MLSMR,MLS000044644,MLS000044644|SMR000022588|2-(methylsulfonyl)-4-phenyl-6-(trifluoromethyl)pyrimidine,20190115,20050816,Governmental Organizations|NIH Initiatives,NULL,Inactive
4242609,3237441,MLSMR,MLS000045819,"MLS000045819|SMR000028216|3-(3,4-dimethoxyphenyl)-1-[(pentafluorophenyl)sulfonyl]-1H-pyrazol-5-amine",20190115,20050816,Governmental Organizations|NIH Initiatives,NULL,Inactive
4244767,741237,MLSMR,MLS000089977,"MLS000089977|SMR000024595|(3Z)-3-(piperidin-1-ylmethylene)pyrrolidine-2,4-dione",20120301,20050816,Governmental Organizations|NIH Initiatives,NULL,Inactive
4249716,3243630,MLSMR,MLS000044693,"MLS000044693|SMR000022637|3-{4-[4-(1,3-benzodioxol-5-ylmethyl)piperazin-1-yl]-4-oxobutyl}thieno[3,2-d]pyrimidine-2,4(1H,3H)-dione",20210728,20050816,Governmental Organizations|NIH Initiatives,NULL,Inactive
4249797,3243696,MLSMR,MLS000091591,"MLS000091591|SMR000026142|2-chloro-6-fluoro-N-({5-[(2-oxo-2-phenylethyl)thio]-1,3,4-oxadiazol-2-yl}methyl)benzamide",20190115,20050816,Governmental Organizations|NIH Initiatives,NULL,Inactive
4250851,3244608,MLSMR,MLS000094219,MLS000094219|SMR000029809|4-methyl-1-[4-(2H-tetrazol-5-yl)benzyl]piperidine,20210728,20050816,Governmental Organizations|NIH Initiatives,NULL,Inactive
4251350,3245049,MLSMR,MLS000047559,"MLS000047559|SMR000033570|N-butyl-3-(2-methoxyphenyl)-4-oxo-3,4-dihydrophthalazine-1-carboxamide",20120301,20050816,Governmental Organizations|NIH Initiatives,NULL,Inactive
