cid,cmpdname,CanonicalSMILES,activity
647846,1-[2-[(3-cyano-8-methylquinolin-2-yl)amino]ethyl]-3-cyclohexylurea,CC1=C2C(=CC=C1)C=C(C(=N2)NCCNC(=O)NC3CCCCC3)C#N,Inactive
649054,"butyl 2-[[5-(3,4,5-trimethoxyphenyl)-1,3,4-oxadiazol-2-yl]sulfanyl]acetate",CCCCOC(=O)CSC1=NN=C(O1)C2=CC(=C(C(=C2)OC)OC)OC,Inactive
657803,"6-chloro-2-(5-chloro-1-methylimidazol-2-yl)-2,3-dihydrochromen-4-one",CN1C(=CN=C1C2CC(=O)C3=C(O2)C=CC(=C3)Cl)Cl,Inactive
6603435,"2-hexyl-2-azatricyclo[7.3.0.03,7]dodeca-1(9),3(7)-dien-8-imine;hydrobromide",CCCCCCN1C2=C(CCC2)C(=N)C3=C1CCC3.Br,Inactive
661810,"1-[3-amino-6-thiophen-2-yl-4-(trifluoromethyl)thieno[2,3-b]pyridin-2-yl]ethanone",CC(=O)C1=C(C2=C(S1)N=C(C=C2C(F)(F)F)C3=CC=CS3)N,Inactive
661889,4-prop-2-enoxy-2-pyridin-4-ylquinazoline,C=CCOC1=NC(=NC2=CC=CC=C21)C3=CC=NC=C3,Inactive
665132,"N-[5-(2-methoxyphenyl)-1,3,4-thiadiazol-2-yl]-2-methylpropanamide",CC(C)C(=O)NC1=NN=C(S1)C2=CC=CC=C2OC,Inactive
2997707,"8-[2-(difluoromethoxy)phenyl]-7-(2-methoxyethyl)-3-propylpurine-2,6-dione",CCCN1C2=C(C(=O)NC1=O)N(C(=N2)C3=CC=CC=C3OC(F)F)CCOC,Inactive
2112599,"4-[1-(4-chlorophenyl)tetrazol-5-yl]sulfanylthieno[2,3-d]pyrimidine",C1=CC(=CC=C1N2C(=NN=N2)SC3=NC=NC4=C3C=CS4)Cl,Inactive
2998049,"17-(2-ethylhexyl)-14-methyl-13-oxa-2,9,15,17-tetrazatetracyclo[8.7.0.03,8.011,16]heptadeca-1,3,5,7,9,11(16),14-heptaen-12-imine",CCCCC(CC)CN1C2=C(C3=NC4=CC=CC=C4N=C31)C(=N)OC(=N2)C,Inactive
2079329,ethyl 2-[(5-methoxycarbonylfuran-2-yl)methylsulfanylmethyl]furan-3-carboxylate,CCOC(=O)C1=C(OC=C1)CSCC2=CC=C(O2)C(=O)OC,Inactive
2666619,"2-(3-methoxyphenyl)-N-(1,3-thiazol-2-yl)acetamide",COC1=CC=CC(=C1)CC(=O)NC2=NC=CS2,Inactive
2337349,"5,6,7,8-tetrafluoro-2-(2,3,4,5,6-pentafluorophenyl)chromen-4-one",C1=C(OC2=C(C1=O)C(=C(C(=C2F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,Inactive
2320547,"(2E)-1-(5-chloro-2-methylsulfonylpyrimidin-4-yl)-2-(1,3,3-trimethylindol-2-ylidene)ethanone",CC1(C2=CC=CC=C2N(C1=CC(=O)C3=NC(=NC=C3Cl)S(=O)(=O)C)C)C,Inactive
2999890,2-cyano-N-hexyl-2-(3-pyrrolidin-1-ylquinoxalin-2-yl)acetamide,CCCCCCNC(=O)C(C#N)C1=NC2=CC=CC=C2N=C1N3CCCC3,Inactive
3236803,2-methylsulfonyl-4-phenyl-6-(trifluoromethyl)pyrimidine,CS(=O)(=O)C1=NC(=CC(=N1)C(F)(F)F)C2=CC=CC=C2,Inactive
3237441,"5-(3,4-dimethoxyphenyl)-2-(2,3,4,5,6-pentafluorophenyl)sulfonylpyrazol-3-amine",COC1=C(C=C(C=C1)C2=NN(C(=C2)N)S(=O)(=O)C3=C(C(=C(C(=C3F)F)F)F)F)OC,Inactive
741237,"(3Z)-3-(piperidin-1-ylmethylidene)pyrrolidine-2,4-dione",C1CCN(CC1)C=C2C(=O)CNC2=O,Inactive
3243630,"3-[4-[4-(1,3-benzodioxol-5-ylmethyl)piperazin-1-yl]-4-oxobutyl]-1H-thieno[3,2-d]pyrimidine-2,4-dione",C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)CCCN4C(=O)C5=C(C=CS5)NC4=O,Inactive
3243696,"2-chloro-6-fluoro-N-[(5-phenacylsulfanyl-1,3,4-oxadiazol-2-yl)methyl]benzamide",C1=CC=C(C=C1)C(=O)CSC2=NN=C(O2)CNC(=O)C3=C(C=CC=C3Cl)F,Inactive
3244608,4-methyl-1-[[4-(2H-tetrazol-5-yl)phenyl]methyl]piperidine,CC1CCN(CC1)CC2=CC=C(C=C2)C3=NNN=N3,Inactive
3245049,N-butyl-3-(2-methoxyphenyl)-4-oxophthalazine-1-carboxamide,CCCCNC(=O)C1=NN(C(=O)C2=CC=CC=C21)C3=CC=CC=C3OC,Inactive
3245097,2-[4-(2-methoxyethylamino)quinazolin-2-yl]sulfanyl-1-[4-(2-methoxyphenyl)piperazin-1-yl]ethanone,COCCNC1=NC(=NC2=CC=CC=C21)SCC(=O)N3CCN(CC3)C4=CC=CC=C4OC,Inactive
1151859,ethyl 2-[4-phenyl-6-(trifluoromethyl)pyrimidin-2-yl]sulfonylacetate,CCOC(=O)CS(=O)(=O)C1=NC(=CC(=N1)C(F)(F)F)C2=CC=CC=C2,Inactive
2959486,"2-piperidin-1-yl-7-propyl-7,8-dihydro-5H-pyrano[4,3-b]pyridine-3-carbonitrile",CCCC1CC2=NC(=C(C=C2CO1)C#N)N3CCCCC3,Inactive
829764,"6-(diethylamino)-3-methyl-1,4-benzoxazin-2-one",CCN(CC)C1=CC2=C(C=C1)OC(=O)C(=N2)C,Inactive
2186107,(E)-3-(2-hydroxy-5-methylanilino)-1-(3-methoxyphenyl)prop-2-en-1-one,CC1=CC(=C(C=C1)O)NC=CC(=O)C2=CC(=CC=C2)OC,Inactive
2976158,1-(3-chloro-4-methoxyphenyl)sulfonyl-N-(pyridin-2-ylmethyl)piperidine-3-carboxamide,COC1=C(C=C(C=C1)S(=O)(=O)N2CCCC(C2)C(=O)NCC3=CC=CC=N3)Cl,Inactive
744061,"ethyl 3-cyano-5,7-dimethylpyrazolo[1,5-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(N2C(=C(C=N2)C#N)N=C1C)C,Inactive
1260914,"2-[4-[(2,5-dimethylphenyl)sulfamoyl]phenoxy]-N-(furan-2-ylmethyl)acetamide",CC1=CC(=C(C=C1)C)NS(=O)(=O)C2=CC=C(C=C2)OCC(=O)NCC3=CC=CO3,Inactive
2233093,"[3-(5-phenyl-1,3,4-oxadiazol-2-yl)phenyl]-piperidin-1-ylmethanone",C1CCN(CC1)C(=O)C2=CC=CC(=C2)C3=NN=C(O3)C4=CC=CC=C4,Inactive
2981691,"N-ethyl-2-[3-(2-methoxyethyl)-1-(3-methoxyphenyl)-2,5-dioxoimidazolidin-4-yl]acetamide",CCNC(=O)CC1C(=O)N(C(=O)N1CCOC)C2=CC(=CC=C2)OC,Inactive
701067,"3-(1,3-benzothiazol-2-ylsulfanyl)-1-benzothiophene 1,1-dioxide",C1=CC=C2C(=C1)C(=CS2(=O)=O)SC3=NC4=CC=CC=C4S3,Inactive
771697,"N-(2,3-dihydro-1H-inden-5-yl)-3-morpholin-4-ylpropanamide",C1CC2=C(C1)C=C(C=C2)NC(=O)CCN3CCOCC3,Inactive
2162673,"methyl N-(3-carbamoyl-4,5,6,7,8,9-hexahydrocycloocta[b]thiophen-2-yl)carbamate",COC(=O)NC1=C(C2=C(S1)CCCCCC2)C(=O)N,Inactive
1253074,"2-[[5-(3-chlorophenyl)-1,3,4-oxadiazol-2-yl]sulfanyl]-N-(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)acetamide",CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)CSC3=NN=C(O3)C4=CC(=CC=C4)Cl,Inactive
2845811,1-[(3-chlorophenyl)methyl-(2-hydroxypropyl)amino]propan-2-ol,CC(CN(CC1=CC(=CC=C1)Cl)CC(C)O)O,Inactive
1244224,"N-(5-tert-butyl-1,2-oxazol-3-yl)pyridine-3-carboxamide",CC(C)(C)C1=CC(=NO1)NC(=O)C2=CN=CC=C2,Inactive
763443,"N-[3-(1,3-benzoxazol-2-yl)phenyl]-2-methylpropanamide",CC(C)C(=O)NC1=CC=CC(=C1)C2=NC3=CC=CC=C3O2,Inactive
1307421,"5-(furan-2-yl)-2-(2-morpholin-4-yl-2-oxoethyl)sulfanyl-3-phenylthieno[2,3-d]pyrimidin-4-one",C1COCCN1C(=O)CSC2=NC3=C(C(=CS3)C4=CC=CO4)C(=O)N2C5=CC=CC=C5,Inactive
892621,"4-(2,5-dimethoxyphenyl)-3-(3-hydroxyphenyl)-1H-1,2,4-triazole-5-thione",COC1=CC(=C(C=C1)OC)N2C(=NNC2=S)C3=CC(=CC=C3)O,Inactive
748054,"methyl 2-[2-(1,3-benzothiazol-2-yl)-3-oxo-1H-pyrazol-5-yl]acetate",COC(=O)CC1=CC(=O)N(N1)C2=NC3=CC=CC=C3S2,Inactive
850073,4-(5-tert-butyl-2-ethoxyphenyl)sulfonylmorpholine,CCOC1=C(C=C(C=C1)C(C)(C)C)S(=O)(=O)N2CCOCC2,Inactive
892462,"5-[2-(dimethylamino)ethylamino]-2-(4-methoxyphenyl)-1,3-oxazole-4-carbonitrile",CN(C)CCNC1=C(N=C(O1)C2=CC=C(C=C2)OC)C#N,Inactive
2173523,"1-[(2,4-dimethoxyphenyl)methyl]-4-(2-fluorophenyl)piperazine",COC1=CC(=C(C=C1)CN2CCN(CC2)C3=CC=CC=C3F)OC,Inactive
2897110,"1,4-bis[(2-methoxy-5-methylphenyl)sulfonyl]-2-methylpiperazine",CC1CN(CCN1S(=O)(=O)C2=C(C=CC(=C2)C)OC)S(=O)(=O)C3=C(C=CC(=C3)C)OC,Inactive
791477,(3E)-3-[(4-methoxyanilino)methylidene]oxolan-2-one,COC1=CC=C(C=C1)NC=C2CCOC2=O,Inactive
787333,"ethyl 2-[2-[(2-thiophen-2-ylacetyl)amino]-1,3-thiazol-4-yl]acetate",CCOC(=O)CC1=CSC(=N1)NC(=O)CC2=CC=CS2,Inactive
2841077,"4,7-dimethyl-1,5-dioxido-[1,2,5]oxadiazolo[3,4-d]pyridazine-5,6-diium 6-oxide",CC1=C2C(=NON2[O-])C(=[N+]([N+]1=O)[O-])C,Inactive
991372,"9-(2,4-dihydroxyphenyl)-3,3,6,6-tetramethyl-4,5,7,9-tetrahydro-2H-xanthene-1,8-dione",CC1(CC2=C(C(C3=C(O2)CC(CC3=O)(C)C)C4=C(C=C(C=C4)O)O)C(=O)C1)C,Inactive
