Ligand,Binding Affinity,min,max,Technique
F0554-0835,-8.2,0.991670963,0.999986484,"XGBoost, LightGBM, GBC"
F1885-0134,-7.8,0.966435786,0.999999996,"XGBoost, LightGBM, GBC"
F5076-0070,-7.7,0.984737101,0.999999988,"XGBoost, LightGBM, GBC"
F3273-0673,-7.6,0.969029872,0.999999967,"XGBoost, LightGBM, GBC"
F0554-0022,-7.5,0.951461428,0.999999829,"XGBoost, LightGBM, GBC"
F3215-0044,-7.4,0.977368154,0.999999969,"XGBoost, LightGBM, GBC"
F0617-0312,-7.3,0.996635489,0.999999999,"XGBoost, LightGBM, GBC"
F0617-0286,-7.3,0.981435465,0.9999997,"XGBoost, LightGBM, GBC"
F3225-8556,-7.2,0.952569003,0.999999911,"XGBoost, LightGBM, GBC"
F5890-0143,-7.2,0.960752026,0.999999956,"XGBoost, LightGBM, GBC"
F2214-0130,-7.2,0.952764452,0.999999453,"XGBoost, LightGBM, GBC"
F0617-0182,-7.1,0.995805904,0.999999997,"XGBoost, LightGBM, GBC"
F0554-0607,-7.1,0.978129165,0.999998633,"XGBoost, LightGBM, GBC"
F1885-0588,-7,0.98757523,0.999999953,"XGBoost, LightGBM, GBC"
F1885-0454,-6.9,0.97154352,0.999999915,"XGBoost, LightGBM, GBC"
F0554-0094,-6.9,0.956900341,0.999998998,"XGBoost, LightGBM, GBC"
F0617-0156,-6.9,0.988465032,1,"XGBoost, LightGBM, GBC"
F0554-0379,-6.9,0.960555702,0.999999601,"XGBoost, LightGBM, GBC"
F0617-0026,-6.8,0.99415796,0.999999994,"XGBoost, LightGBM, GBC"
F0617-0442,-6.8,0.992223441,0.999999989,"XGBoost, LightGBM, GBC"
F0617-0052,-6.8,0.994595177,0.999999998,"XGBoost, LightGBM, GBC"
F0617-0364,-6.8,0.996792995,0.999999977,"XGBoost, LightGBM, GBC"
F6203-1614,-6.7,0.959819611,0.999999996,"XGBoost, LightGBM, GBC"
F0617-0352,-6.7,0.973449671,0.999999649,"XGBoost, LightGBM, GBC"
F0617-0260,-6.6,0.992413742,0.999999935,"XGBoost, LightGBM, GBC"
F0617-0042,-6.6,0.9583752,0.999998867,"XGBoost, LightGBM, GBC"
F6203-1942,-6.6,0.962089136,0.999999778,"XGBoost, LightGBM, GBC"
F5311-0088,-6.6,0.961236839,0.999971534,"XGBoost, LightGBM, GBC"
F6200-1553,-6.5,0.994499895,0.999999914,"XGBoost, LightGBM, GBC"
F1885-0568,-6.5,0.985976572,0.999999902,"XGBoost, LightGBM, GBC"
F0617-0416,-6.5,0.980053365,0.999998343,"XGBoost, LightGBM, GBC"
F6451-0665,-6.4,0.98395769,0.999997571,"XGBoost, LightGBM, GBC"
F6521-7868,-6.3,0.985702394,0.999999608,"XGBoost, LightGBM, GBC"
F2879-0862,-6.1,0.96082061,0.999989008,"XGBoost, LightGBM, GBC"
F1885-0135,-6.1,0.967307878,0.999984712,"XGBoost, LightGBM, GBC"
F3023-0011,-6.1,0.953415396,0.999999912,"XGBoost, LightGBM, GBC"
F6420-0636,-6.1,0.979993919,0.999999986,"XGBoost, LightGBM, GBC"
F2879-3845,-6.1,0.957531509,0.99999993,"XGBoost, LightGBM, GBC"
F0617-0354,-6.1,0.978003527,0.999999908,"XGBoost, LightGBM, GBC"
F1885-0090,-6,0.961348101,0.999999963,"XGBoost, LightGBM, GBC"
F5310-0072,-6,0.952072759,0.999997376,"XGBoost, LightGBM, GBC"
F5857-7570,-5.9,0.9948455,0.999999995,"XGBoost, LightGBM, GBC"
F6420-0139,-5.9,0.990319339,0.999999979,"XGBoost, LightGBM, GBC"
F2964-0862,-5.9,0.970592273,0.99999994,"XGBoost, LightGBM, GBC"
F2883-0545,-5.9,0.98926229,0.999999948,"XGBoost, LightGBM, GBC"
F5831-7948,-5.8,0.95908335,0.999991384,"XGBoost, LightGBM, GBC"
F6445-6883,-5.8,0.98887,0.999979843,"XGBoost, LightGBM, GBC"
F6451-1593,-5.8,0.961244071,0.999999876,"XGBoost, LightGBM, GBC"
F0291-0021,-5.7,0.9514114,0.999998064,"XGBoost, LightGBM, GBC"
F5222-0010,-5.7,0.967263039,0.999998633,"XGBoost, LightGBM, GBC"
F5310-0017,-5.6,0.97007185,0.999995098,"XGBoost, LightGBM, GBC"
F0421-0040,-5.6,0.966962508,0.999998269,"XGBoost, LightGBM, GBC"
F6451-2637,-5.6,0.987642903,0.999999887,"XGBoost, LightGBM, GBC"
F6357-0949,-5.6,0.969602826,0.999997248,"XGBoost, LightGBM, GBC"
F6451-2638,-5.5,0.980009663,0.999999932,"XGBoost, LightGBM, GBC"
F6420-0035,-5.4,0.970274381,0.999999059,"XGBoost, LightGBM, GBC"
F6420-0562,-5.4,0.980790452,0.999999275,"XGBoost, LightGBM, GBC"
F5526-0421,-5.4,0.991809792,0.999999677,"XGBoost, LightGBM, GBC"
F5310-0025,-5.3,0.975495564,0.999999475,"XGBoost, LightGBM, GBC"
F5832-0080,-5.3,0.951321301,0.999999929,"XGBoost, LightGBM, GBC"
F5526-0209,-4.9,0.9554875,0.999976045,"XGBoost, LightGBM, GBC"
