USER_ID,Probabilities
F6521-7751,0.99611545
F6475-4409,0.9667155
F6521-7936,0.98530746
F6204-2182,0.9859847
F6507-8857,0.98810613
F6481-0916,0.99010617
F6476-6038,0.9769547
F6515-0114,0.9675704
F6521-8206,0.9702159
F6451-0740,0.9812371
F6542-5776,0.95529425
F6524-1537,0.98156184
F2495-1881,0.9874056
F5857-1140,0.9800827
F5857-5696,0.992785
F6521-4320,0.9719748
F6452-1053,0.96575415
F6420-0636,0.99010825
F6514-4345,0.98645276
F6420-0562,0.9964981
F5467-0005,0.98428303
F6089-9712,0.96023697
F6200-4170,0.9574518
F1301-0059,0.9788599
F6204-2742,0.9753287
F6451-2623,0.9843401
F6451-2828,0.9941003
F6514-4504,0.97084516
F6416-9134,0.99412197
F6178-7633,0.96038085
F6514-4422,0.9927926
F6420-0594,0.9951361
F6514-4365,0.9966366
F6521-7868,0.9947817
F6475-4454,0.99194735
F6514-4364,0.994622
F0291-0021,0.9514114
F6265-0111,0.9533317
F5857-5749,0.98013365
F2721-0298,0.9524408
F6609-8210,0.9890477
F6443-7582,0.98767716
F6357-0949,0.99190146
F6452-0740,0.98085177
F5310-0072,0.98763895
F6451-0998,0.9718884
F6471-2859,0.9825661
F6471-2864,0.9936093
F6471-2860,0.9958475
F0422-0016,0.9706926
F6125-0283,0.963003
F5860-3678,0.98357004
F0421-0040,0.9765866
F6451-0665,0.98752046
F2883-0545,0.99454075
F6266-0359,0.9942848
F3375-2779,0.9918465
F6226-0435,0.9815591
F1278-0617,0.98545766
F6475-4463,0.980213
F5857-7570,0.9948455
F6471-2854,0.9638419
F6155-0050,0.97134316
F6464-0698,0.9874636
F6475-2963,0.9598647
F6491-0509,0.9764574
F6523-2551,0.9564573
F2964-0666,0.9500687
F6451-2637,0.99838936
F6412-6601,0.99702543
F5828-0213,0.98912686
F6559-2013,0.9753772
F5323-0227,0.97517675
F1278-0636,0.96112484
F5860-3855,0.9839462
F5831-7530,0.9581501
F6412-6788,0.9938904
F6412-6810,0.99675095
F5857-7956,0.99513394
F6420-0077,0.9907532
F6475-7250,0.99342984
F1278-0568,0.9982657
F1885-0094,0.9506653
F2016-0492,0.99963784
F1193-0007,0.97832745
F1278-0583,0.99693847
F2016-0589,0.99927
F6412-6809,0.998706
F1885-0184,0.99812776
F1278-0709,0.9811168
F1278-0660,0.9943751
F1278-0758,0.9917066
F5791-2137,0.95914376
F6514-4580,0.9941637
F1885-0486,0.9919642
F6445-6883,0.98887
F1278-0212,0.97259957
F1885-0335,0.9719008
F5857-5285,0.9754809
F1124-0016,0.9618611
F2214-0124,0.99048233
F6357-0566,0.9513521
F1124-0018,0.9911908
F1885-0637,0.9902671
F5890-0388,0.969787
F2214-0130,0.988325
F6541-4230,0.9855156
F5526-0122,0.9955249
F5831-8130,0.95638293
F1885-0126,0.99302673
F6241-0339,0.98233736
F5488-0016,0.9976688
F6279-0213,0.9517988
F6489-0495,0.97650605
F6488-0495,0.95868313
F5488-0042,0.9985078
F5008-0078,0.9949287
F5008-0047,0.99067384
F6241-0336,0.96655244
F6524-2402,0.9965899
F6184-1288,0.9936272
F6514-4601,0.9893027
F5008-0049,0.99612445
F5076-0018,0.9879374
F5331-0481,0.9804811
F1885-0152,0.99766374
F5008-0033,0.9884228
F5076-0017,0.9933809
F1885-0306,0.99312156
F1885-0023,0.9888371
F5857-7555,0.95005786
F5488-0014,0.9987128
F5008-0089,0.9947925
F5857-5695,0.9784177
F5008-0090,0.9938672
F1885-0305,0.9950311
F1885-0325,0.985913
F1885-0303,0.98530245
F5008-0036,0.99924636
F5860-2892,0.9965642
F1885-0326,0.9863089
F1885-0454,0.9948932
F6443-1575,0.96118516
F1885-0154,0.9972805
F5331-0162,0.9654957
F1885-0327,0.9775249
F1885-0627,0.97681344
F5488-0041,0.9958896
F5331-0001,0.9658039
F5890-0238,0.98732066
F6479-3173,0.9899974
F0919-5874,0.9517231
F1885-0026,0.9931292
F6548-1228,0.9612779
F5008-0093,0.9691386
F5008-0004,0.99549496
F5008-0075,0.9819993
F6514-4592,0.9941718
F1885-0329,0.9548221
F2964-1423,0.9816218
F5831-9937,0.9948084
F1885-0223,0.99030894
F5890-0012,0.99148214
F6089-9837,0.9802075
F6443-1574,0.99712723
F3023-0011,0.99657947
F6443-1404,0.9890075
F2016-0480,0.9991217
F5488-0035,0.97463745
F1885-0456,0.99223584
F5331-0491,0.9597316
F6153-0115,0.9970084
F5331-0145,0.9849422
F5008-0007,0.9965288
F1885-0630,0.97660655
F0700-0135,0.9534262
F5008-0042,0.96325827
F1885-0079,0.98177874
F1885-0176,0.97166777
F1885-0478,0.96133816
F5310-0025,0.9945015
F6443-1594,0.999503
F1885-0224,0.9954561
F1885-0525,0.9896833
F1885-0381,0.9696537
F1885-0526,0.9979285
F6411-1921,0.98587245
F6153-0173,0.99936193
F2964-1438,0.99644744
F6523-2886,0.95320636
F2964-1513,0.997246
F6411-1926,0.99466234
F5882-6487,0.9960759
F1885-0230,0.97922623
F2016-0586,0.9630516
F6089-9835,0.990838
F6443-1486,0.99903464
F5791-1362,0.9856603
F5076-0009,0.99648523
F5488-0007,0.973681
F6153-0183,0.98860246
F5310-0017,0.97007185
F5331-0207,0.9858234
F6089-9716,0.99471164
F5331-0553,0.97255415
F5331-0542,0.9911857
F5331-0449,0.98909634
F5857-8596,0.9949962
F5331-0513,0.98883957
F2862-0122,0.9802593
F6443-1092,0.9997582
F6443-1059,0.99949
F5331-0351,0.9922139
F5331-0543,0.98331773
F5311-0088,0.9832166
F6451-1203,0.95622694
F6014-0229,0.999323
F2880-0193,0.9584043
F5652-3610,0.99626285
F6200-1553,0.9994948
F2748-0200,0.9827922
F6420-0139,0.99375945
F2721-0302,0.9582853
F2752-0166,0.9960652
F5331-0049,0.9946674
F2721-0318,0.9889381
F2752-0440,0.99693334
F6294-0584,0.98479974
F5831-1946,0.96430117
F6416-6530,0.99073726
F5331-0470,0.994835
F2862-0196,0.99991035
F5772-7032,0.9976292
F2592-0027,0.99793303
F6412-6660,0.9990766
F5331-0443,0.97176737
F5832-0080,0.9958099
F5331-0441,0.96117854
F5331-0452,0.96007466
F6412-6667,0.9972632
F6420-0035,0.9900593
F2392-1306,0.97570723
F3225-3469,0.95842797
F6521-7914,0.9940904
F6451-1593,0.9890788
F6497-1989,0.9746157
F5331-0469,0.9924833
F0806-0836,0.9844514
F2147-0716,0.9891257
F6451-2638,0.9989605
F6412-6671,0.99996996
F5331-0468,0.9898957
F2964-2038,0.9914473
F5076-0011,0.98572624
F6414-0681,0.9688975
F6473-7927,0.96743685
F3411-8145,0.99381554
F5076-0062,0.9774689
F1105-0189,0.99781704
F2721-0345,0.9805131
F5331-0193,0.9982895
F0412-0066,0.96423167
F3411-3964,0.9957735
F6190-1566,0.98566204
F6412-6755,0.99953043
F6378-0064,0.9959914
F1105-0074,0.99619114
F1193-0155,0.9683359
F0327-0365,0.9995004
F6436-3678,0.9911375
F3411-3982,0.9996239
F2862-0258,0.97770965
F5831-7948,0.9810449
F6412-6663,0.9773846
F6412-6695,0.99937963
F6469-1052,0.99986804
F0919-5325,0.9982089
F3411-3959,0.99996865
F2202-3479,0.99642307
F6412-6661,0.9995161
F3096-1078,0.9771384
F2493-3391,0.99583614
F6412-6776,0.99839777
F3411-4121,0.9978381
F3411-4426,0.99919933
F2862-0416,0.99706763
F3411-3972,0.9769747
F3411-3960,0.9963355
F1885-0719,0.9909764
F1301-0916,0.9952075
F3411-5435,0.9790254
F3411-4592,0.9995615
F3411-4712,0.99960583
F5526-0063,0.97832173
F2879-0205,0.98185205
F3009-1400,0.9992379
F3411-3979,0.9983895
F3411-4125,0.95854163
F3411-4425,0.9985141
F3411-4521,0.99981636
F3411-4661,0.9973496
F3411-4664,0.9733055
F5490-0100,0.96735317
F6412-6822,0.9987073
F9994-0367,0.9593773
F6125-0160,0.9647726
F6203-1936,0.9726663
F5890-0092,0.9704415
F3411-3987,0.99990606
F3411-4427,0.9942439
F2783-0108,0.9998198
F5540-0047,0.9811693
F5526-0139,0.97345936
F2879-0862,0.98900175
F3311-0026,0.9888325
F3411-4124,0.99661213
F1278-0598,0.98091894
F1124-0021,0.99867624
F6471-2861,0.9942504
F1885-0588,0.98757523
F3411-4544,0.99303436
F3411-4669,0.9991565
F6196-0994,0.9500812
F5488-0026,0.97288847
F3411-3976,0.9759807
F1124-0078,0.96626353
F1885-0739,0.97436315
F6412-6748,0.9990415
F1885-0135,0.9859665
F2864-0052,0.97665554
F3411-4591,0.9997032
F6521-7713,0.99850696
F1885-0272,0.9779791
F2864-0066,0.987973
F5890-0143,0.99758935
F1885-0121,0.99315876
F3411-4655,0.9768413
F1885-0395,0.9921977
F3411-4656,0.9956358
F5539-0004,0.99860626
F5076-0064,0.9845463
F5833-5217,0.9596996
F3411-4545,0.99935895
F6420-0455,0.99677986
F6203-1942,0.99607617
F1885-0423,0.99616027
F5539-0037,0.9829481
F3411-4543,0.997401
F3172-0036,0.9844127
F3411-4132,0.99973506
F5540-0053,0.9787136
F5540-0084,0.9618783
F2780-0241,0.99760026
F5539-0069,0.97504246
F3411-4666,0.9957365
F1885-0697,0.9768521
F5539-0048,0.9998067
F3411-4665,0.97305477
F5540-0069,0.9964456
F3411-4142,0.9971813
F5526-0045,0.9830188
F6089-3673,0.9994904
F1885-0568,0.9964401
F5539-0016,0.99771774
F5833-6211,0.9723919
F3411-4129,0.98986804
F2016-0549,0.9940889
F5540-0016,0.99954224
F5540-0048,0.99983263
F6556-1918,0.9970848
F6469-0679,0.9991007
F5540-0041,0.9996972
F3411-4554,0.99597627
F5539-0041,0.99941397
F3411-4140,0.99483705
F1885-0574,0.95198834
F5539-0002,0.9938577
F5833-5418,0.99943656
F6412-6842,0.96023214
F5539-0068,0.9998596
F6412-6860,0.9951624
F3411-4662,0.99767464
F1193-0145,0.964485
F2780-0089,0.9683168
F6523-2624,0.9938882
F6089-9489,0.9972681
F5540-0004,0.99922943
F6514-4464,0.98250604
F6412-6946,0.9916853
F6184-0777,0.99370307
F3411-4623,0.99649674
F6203-1805,0.9931405
F6556-1937,0.9939666
F6233-0206,0.9999256
F5539-0080,0.9997161
F6193-0113,0.9993389
F2879-3860,0.97648627
F6411-4397,0.99954396
F3411-4555,0.9997143
F6420-0473,0.9767562
F6469-0586,0.9975057
F6424-0161,0.99988914
F3411-4432,0.9960829
F3411-4562,0.9979711
F5539-0034,0.9967403
F6279-0221,0.9503606
F5488-0083,0.98362976
F3411-4667,0.99662304
F5488-0033,0.9591298
F6210-0651,0.9652322
F0656-0585,0.9933942
F2848-0008,0.9776602
F5331-0059,0.9886395
F2879-3799,0.96512836
F3411-4636,0.9990182
F5540-0034,0.9984675
F5488-0108,0.99974746
F5076-0015,0.99770075
F5540-0002,0.99668956
F5076-0066,0.9989623
F5331-0435,0.97188413
F3411-4631,0.99960226
F5076-0068,0.9936127
F5076-0012,0.99731654
F0174-0274,0.9967018
F5076-0013,0.9979413
F2964-0862,0.9996295
F3411-4639,0.9991027
F5076-0055,0.9940685
F3332-0046,0.9732527
F0327-0319,0.9994373
F2879-3817,0.9779715
F0327-0320,0.9990414
F5076-0049,0.99164736
F6351-0462,0.97593147
F6233-0526,0.9998653
F0174-0270,0.9911691
F5331-0311,0.95644677
F3375-0064,0.99996686
F5834-0164,0.99733764
F5076-0025,0.9991571
F5076-0048,0.9988431
F5076-0030,0.956787
F2879-3822,0.97440934
F3407-0454,0.9960742
F5488-0057,0.9997956
F5076-0067,0.9989256
F5076-0053,0.9977671
F6153-0060,0.99973637
F0817-0057,0.9981173
F5076-0081,0.99951327
F3375-0054,0.9998467
F2879-3845,0.9923671
F5076-0022,0.99995196
F5834-4089,0.99737537
F6233-0195,0.9990852
F5534-0050,0.988953
F5488-0039,0.9815703
F5076-0071,0.9899974
F1065-0542,0.9642301
F5488-0105,0.99704236
F6233-0850,0.996837
F5534-0037,0.9972047
F6412-6568,0.9576019
F3407-0609,0.9573567
F5076-0020,0.9849443
F5331-0434,0.97188413
F3411-4637,0.99772006
F5331-0310,0.9655883
F5076-0070,0.99933004
F5485-0610,0.99901307
F6412-6801,0.9996257
F1885-0153,0.9959156
F5534-0047,0.99067044
F5488-0079,0.97247666
F5833-4897,0.999746
F3296-0381,0.9983543
F5967-0111,0.9941077
F3244-0375,0.99860007
